lemma	token
Abgefischtere	Abgefischteren
Abgefischteste	Abgefischtesten
Abgeflachte	Abgeflachten
Abgeflachtere	Abgeflachteren
Abgeflachteste	Abgeflachtesten
Abgeflaute	Abgeflauten
Abgeflogene	Abgeflogenen
Abgeflossene	Abgeflossenen
Abgeflossenere	Abgeflosseneren
Abgeflossenste	Abgeflossensten
Abgefluchtete	Abgefluchteten
Abgeforderte	Abgeforderten
Abgefordertere	Abgeforderteren
Abgeforderteste	Abgefordertesten
Abgeformte	Abgeformten
Abgefragte	Abgefragten
Abgefressene	Abgefressenen
Abgefressenere	Abgefresseneren
Abgefressenste	Abgefressensten
Abgefrorene	Abgefrorenen
Abgefrorenere	Abgefroreneren
Abgefrorenste	Abgefrorensten
Abgeführte	Abgeführten
Abgefüllte	Abgefüllten
Abgefülltere	Abgefüllteren
Abgefüllteste	Abgefülltesten
Abgefundene	Abgefundenen
Abgefütterte	Abgefütterten
Abgegangene	Abgegangenen
Abgegaunerte	Abgegaunerten
Abgegebene	Abgegebenen
Abgegessene	Abgegessenen
Abgeglichene	Abgeglichenen
Abgeglichenere	Abgeglicheneren
Abgeglichenste	Abgeglichensten
Abgeglittene	Abgeglittenen
Abgeglittenere	Abgeglitteneren
Abgeglittenste	Abgeglittensten
Abgegoltene	Abgegoltenen
Abgegossene	Abgegossenen
Abgegrabene	Abgegrabenen
Abgegraste	Abgegrasten
Abgegrastere	Abgegrasteren
Abgegrasteste	Abgegrastesten
Abgegrätschte	Abgegrätschten
Abgegrätschtere	Abgegrätschteren
Abgegrätschteste	Abgegrätschtesten
Abgegrenzte	Abgegrenzten
Abgegrenztere	Abgegrenzteren
Abgegrenzteste	Abgegrenztesten
Abgegriffene	Abgegriffenen
Abgegriffenere	Abgegriffeneren
Abgegriffenste	Abgegriffensten
Abgehackte	Abgehackten
Abgehacktere	Abgehackteren
Abgehackteste	Abgehacktesten
Abgehakte	Abgehakten
Abgehalfterte	Abgehalfterten
Abgehaltene	Abgehaltenen
Abgehandelte	Abgehandelten
Abgehängte	Abgehängten
Abgehärtete	Abgehärteten
Abgehärtetere	Abgehärteteren
Abgehärteteste	Abgehärtetesten
Abgehaspelte	Abgehaspelten
Abgehaspeltere	Abgehaspelteren
Abgehaspelteste	Abgehaspeltesten
Abgehauene	Abgehauenen
Abgehäutete	Abgehäuteten
Abgeheftete	Abgehefteten
Abgeheilte	Abgeheilten
Abgeheiltere	Abgeheilteren
Abgeheilteste	Abgeheiltesten
Abgehen	Abgehens
Abgehende	Abgehenden
Abgehetzte	Abgehetzten
Abgehetztere	Abgehetzteren
Abgehetzteste	Abgehetztesten
Abgehobelte	Abgehobelten
Abgehobeltere	Abgehobelteren
Abgehobelteste	Abgehobeltesten
Abgehobene	Abgehobenen
Abgeholfene	Abgeholfenen
Abgeholte	Abgeholten
Abgeholzte	Abgeholzten
Abgeholztere	Abgeholzteren
Abgeholzteste	Abgeholztesten
Abgehorchte	Abgehorchten
Abgehorchtere	Abgehorchteren
Abgehorchteste	Abgehorchtesten
Abgehörte	Abgehörten
Abgejagte	Abgejagten
Abgekämmte	Abgekämmten
Abgekämpfte	Abgekämpften
Abgekämpftere	Abgekämpfteren
Abgekämpfteste	Abgekämpftesten
Abgekantete	Abgekanteten
Abgekantetere	Abgekanteteren
Abgekanteteste	Abgekantetesten
Abgekanzelte	Abgekanzelten
Abgekanzeltere	Abgekanzelteren
Abgekanzelteste	Abgekanzeltesten
Abgekappte	Abgekappten
Abgekapselte	Abgekapselten
Abgekapseltere	Abgekapselteren
Abgekapselteste	Abgekapseltesten
Abgekartete	Abgekarteten
Abgekartetere	Abgekarteteren
Abgekarteteste	Abgekartetesten
Abgekaufte	Abgekauften
Abgekehrte	Abgekehrten
Abgeklapperte	Abgeklapperten
Abgeklärte	Abgeklärten
Abgeklärtere	Abgeklärteren
Abgeklärteste	Abgeklärtesten
Abgeklatschte	Abgeklatschten
Abgeklaubte	Abgeklaubten
Abgeklaubtere	Abgeklaubteren
Abgeklaubteste	Abgeklaubtesten
Abgeklebte	Abgeklebten
Abgeklemmte	Abgeklemmten
Abgeklopfte	Abgeklopften
Abgeklungene	Abgeklungenen
Abgeknabberte	Abgeknabberten
Abgeknabbertere	Abgeknabberteren
Abgeknabberteste	Abgeknabbertesten
Abgeknallte	Abgeknallten
Abgeknapste	Abgeknapsten
Abgeknapstere	Abgeknapsteren
Abgeknapsteste	Abgeknapstesten
Abgeknickte	Abgeknickten
Abgekniffene	Abgekniffenen
Abgekniffenere	Abgekniffeneren
Abgekniffenste	Abgekniffensten
Abgeknipste	Abgeknipsten
Abgeknöpfte	Abgeknöpften
Abgeknutschte	Abgeknutschten
Abgeknutschtere	Abgeknutschteren
Abgeknutschteste	Abgeknutschtesten
Abgekochte	Abgekochten
Abgekochtere	Abgekochteren
Abgekochteste	Abgekochtesten
Abgekommene	Abgekommenen
Abgekoppelte	Abgekoppelten
Abgekotzte	Abgekotzten
Abgekratzte	Abgekratzten
Abgekriegte	Abgekriegten
Abgekühlte	Abgekühlten
Abgekühltere	Abgekühlteren
Abgekühlteste	Abgekühltesten
Abgekuppelte	Abgekuppelten
Abgekürzte	Abgekürzten
Abgeküßte	Abgeküßten
Abgelachte	Abgelachten
Abgeladene	Abgeladenen
Abgelagerte	Abgelagerten
Abgelassene	Abgelassenen
Abgelatschte	Abgelatschten
Abgelatschtere	Abgelatschteren
Abgelatschteste	Abgelatschtesten
Abgelaufene	Abgelaufenen
Abgelautete	Abgelauteten
Abgelebte	Abgelebten
Abgelederte	Abgelederten
Abgeledertere	Abgelederteren
Abgelederteste	Abgeledertesten
Abgelegene	Abgelegenen
Abgelegenere	Abgelegeneren
Abgelegenste	Abgelegensten
Abgelegte	Abgelegten
Abgelehnte	Abgelehnten
Abgeleistete	Abgeleisteten
Abgeleitete	Abgeleiteten
Abgelenkte	Abgelenkten
Abgelenktere	Abgelenkteren
Abgelenkteste	Abgelenktesten
Abgelesene	Abgelesenen
Abgeleuchtete	Abgeleuchteten
Abgelichtete	Abgelichteten
Abgelieferte	Abgelieferten
Abgeloschene	Abgeloschenen
Abgelöschte	Abgelöschten
Abgelöste	Abgelösten
Abgelten	Abgeltens
Abgeltende	Abgeltenden
Abgemachte	Abgemachten
Abgemagerte	Abgemagerten
Abgemagertere	Abgemagerteren
Abgemagerteste	Abgemagertesten
Abgemähte	Abgemähten
Abgemähtere	Abgemähteren
Abgemähteste	Abgemähtesten
Abgemalte	Abgemalten
Abgemeldete	Abgemeldeten
Abgemessene	Abgemessenen
Abgemilderte	Abgemilderten
Abgemühte	Abgemühten
Abgemurkste	Abgemurksten
Abgemusterte	Abgemusterten
Abgenabelte	Abgenabelten
Abgenagte	Abgenagten
Abgenagtere	Abgenagteren
Abgenagteste	Abgenagtesten
Abgenähte	Abgenähten
Abgeneigte	Abgeneigten
Abgenommene	Abgenommenen
Abgenommenere	Abgenommeneren
Abgenommenste	Abgenommensten
Abgenutzte	Abgenutzten
Abgenutztere	Abgenutzteren
Abgenutzteste	Abgenutztesten
Abgeordnete	Abgeordneten
Abgepaßte	Abgepaßten
Abgepellte	Abgepellten
Abgepelltere	Abgepellteren
Abgepellteste	Abgepelltesten
Abgepfiffene	Abgepfiffenen
Abgeplatzte	Abgeplatzten
Abgeplatztere	Abgeplatzteren
Abgeplatzteste	Abgeplatztesten
Abgeprallte	Abgeprallten
Abgepreßte	Abgepreßten
Abgepumpte	Abgepumpten
Abgepumptere	Abgepumpteren
Abgepumpteste	Abgepumptesten
Abgeputzte	Abgeputzten
Abgequälte	Abgequälten
Abgequältere	Abgequälteren
Abgequälteste	Abgequältesten
Abgequetschte	Abgequetschten
Abgequetschtere	Abgequetschteren
Abgequetschteste	Abgequetschtesten
Abgeratene	Abgeratenen
Abgeräumte	Abgeräumten
Abgeräumtere	Abgeräumteren
Abgeräumteste	Abgeräumtesten
Abgerauschte	Abgerauschten
Abgerauschtere	Abgerauschteren
Abgerauschteste	Abgerauschtesten
Abgerechnete	Abgerechneten
Abgeregte	Abgeregten
Abgereichte	Abgereichten
Abgereiste	Abgereisten
Abgerichtete	Abgerichteten
Abgerichtetere	Abgerichteteren
Abgerichteteste	Abgerichtetesten
Abgeriebene	Abgeriebenen
Abgeriebenere	Abgeriebeneren
Abgeriebenste	Abgeriebensten
Abgeriegelte	Abgeriegelten
Abgeriffelte	Abgeriffelten
Abgerindete	Abgerindeten
Abgerissene	Abgerissenen
Abgerissenere	Abgerisseneren
Abgerissenste	Abgerissensten
Abgerittene	Abgerittenen
Abgerodete	Abgerodeten
Abgerodetere	Abgerodeteren
Abgerodeteste	Abgerodetesten
Abgerollte	Abgerollten
Abgerolltere	Abgerollteren
Abgerollteste	Abgerolltesten
Abgerückte	Abgerückten
Abgeruderte	Abgeruderten
Abgerufene	Abgerufenen
Abgerührte	Abgerührten
Abgerundete	Abgerundeten
Abgerungene	Abgerungenen
Abgerupfte	Abgerupften
Abgerupftere	Abgerupfteren
Abgerupfteste	Abgerupftesten
Abgerüstete	Abgerüsteten
Abgerutschte	Abgerutschten
Abgesäbelte	Abgesäbelten
Abgesagte	Abgesagten
Abgesägte	Abgesägten
Abgesahnte	Abgesahnten
Abgesandte	Abgesandten
Abgesattelte	Abgesattelten
Abgesaugte	Abgesaugten
Abgesaugtere	Abgesaugteren
Abgesaugteste	Abgesaugtesten
Abgesauste	Abgesausten
Abgeschabte	Abgeschabten
Abgeschabtere	Abgeschabteren
Abgeschabteste	Abgeschabtesten
Abgeschaffte	Abgeschafften
Abgeschälte	Abgeschälten
Abgeschaltete	Abgeschalteten
Abgeschätzte	Abgeschätzten
Abgeschäumte	Abgeschäumten
Abgeschaute	Abgeschauten
Abgescherte	Abgescherten
Abgescheuerte	Abgescheuerten
Abgescheuertere	Abgescheuerteren
Abgescheuerteste	Abgescheuertesten
Abgeschiedene	Abgeschiedenen
Abgeschieferte	Abgeschieferten
Abgeschirmte	Abgeschirmten
Abgeschirmtere	Abgeschirmteren
Abgeschirmteste	Abgeschirmtesten
Abgeschirrte	Abgeschirrten
Abgeschlachtete	Abgeschlachteten
Abgeschlaffte	Abgeschlafften
Abgeschlafftere	Abgeschlaffteren
Abgeschlaffteste	Abgeschlafftesten
Abgeschlagene	Abgeschlagenen
Abgeschlämmte	Abgeschlämmten
Abgeschleifte	Abgeschleiften
Abgeschleiftere	Abgeschleifteren
Abgeschleifteste	Abgeschleiftesten
Abgeschleppte	Abgeschleppten
Abgeschliffene	Abgeschliffenen
Abgeschlossene	Abgeschlossenen
Abgeschmatzte	Abgeschmatzten
Abgeschmatztere	Abgeschmatzteren
Abgeschmatzteste	Abgeschmatztesten
Abgeschmeichelte	Abgeschmeichelten
Abgeschmeicheltere	Abgeschmeichelteren
Abgeschmetterte	Abgeschmetterten
Abgeschmierte	Abgeschmierten
Abgeschminkte	Abgeschminkten
Abgeschmolzene	Abgeschmolzenen
Abgeschnallte	Abgeschnallten
Abgeschnappte	Abgeschnappten
Abgeschnittene	Abgeschnittenen
Abgeschnittenere	Abgeschnitteneren
Abgeschnittenste	Abgeschnittensten
Abgeschnürte	Abgeschnürten
Abgeschnürtere	Abgeschnürteren
Abgeschnürteste	Abgeschnürtesten
Abgeschobene	Abgeschobenen
Abgeschöpfte	Abgeschöpften
Abgeschorene	Abgeschorenen
Abgeschossene	Abgeschossenen
Abgeschrägte	Abgeschrägten
Abgeschraubte	Abgeschraubten
Abgeschreckte	Abgeschreckten
Abgeschrecktere	Abgeschreckteren
Abgeschreckteste	Abgeschrecktesten
Abgeschriebene	Abgeschriebenen
Abgeschriebenere	Abgeschriebeneren
Abgeschriebenste	Abgeschriebensten
Abgeschrittene	Abgeschrittenen
Abgeschrockene	Abgeschrockenen
Abgeschröpfte	Abgeschröpften
Abgeschuftete	Abgeschufteten
Abgeschundene	Abgeschundenen
Abgeschundenere	Abgeschundeneren
Abgeschundenste	Abgeschundensten
Abgeschürfte	Abgeschürften
Abgeschürftere	Abgeschürfteren
Abgeschürfteste	Abgeschürftesten
Abgeschüttelte	Abgeschüttelten
Abgeschwächte	Abgeschwächten
Abgeschwächtere	Abgeschwächteren
Abgeschwächteste	Abgeschwächtesten
Abgeschwatzte	Abgeschwatzten
Abgeschweifte	Abgeschweiften
Abgeschweiftere	Abgeschweifteren
Abgeschweifteste	Abgeschweiftesten
Abgeschwellte	Abgeschwellten
Abgeschwenkte	Abgeschwenkten
Abgeschwindelte	Abgeschwindelten
Abgeschwirrte	Abgeschwirrten
Abgeschwollene	Abgeschwollenen
Abgeschwollenere	Abgeschwolleneren
Abgeschwollenste	Abgeschwollensten
Abgeschworene	Abgeschworenen
Abgeschwungene	Abgeschwungenen
Abgesegnete	Abgesegneten
Abgesehene	Abgesehenen
Abgeseifte	Abgeseiften
Abgeseiftere	Abgeseifteren
Abgeseifteste	Abgeseiftesten
Abgeseilte	Abgeseilten
Abgeseiltere	Abgeseilteren
Abgeseilteste	Abgeseiltesten
Abgesendete	Abgesendeten
Abgesengte	Abgesengten
Abgesengtere	Abgesengteren
Abgesengteste	Abgesengtesten
Abgesenkte	Abgesenkten
Abgesessene	Abgesessenen
Abgesetzte	Abgesetzten
Abgesicherte	Abgesicherten
Abgesichertere	Abgesicherteren
Abgesicherteste	Abgesichertesten
Abgesoffene	Abgesoffenen
Abgesoffenere	Abgesoffeneren
Abgesoffenste	Abgesoffensten
Abgesogene	Abgesogenen
Abgesonderte	Abgesonderten
Abgespaltene	Abgespaltenen
Abgespaltenere	Abgespalteneren
Abgespaltenste	Abgespaltensten
Abgespannte	Abgespannten
Abgesparte	Abgesparten
Abgespartere	Abgesparteren
Abgesparteste	Abgespartesten
Abgespeicherte	Abgespeicherten
Abgespeiste	Abgespeisten
Abgesperrte	Abgesperrten
Abgespiegelte	Abgespiegelten
Abgespielte	Abgespielten
Abgesplitterte	Abgesplitterten
Abgespreizte	Abgespreizten
Abgesprengte	Abgesprengten
Abgespritzte	Abgespritzten
Abgesprochene	Abgesprochenen
Abgesprühte	Abgesprühten
Abgesprungene	Abgesprungenen
Abgespulte	Abgespulten
Abgespülte	Abgespülten
Abgestammte	Abgestammten
Abgestandene	Abgestandenen
Abgestandenere	Abgestandeneren
Abgestandenste	Abgestandensten
Abgestattete	Abgestatteten
Abgestaubte	Abgestaubten
Abgestaubtere	Abgestaubteren
Abgestaubteste	Abgestaubtesten
Abgesteifte	Abgesteiften
Abgesteiftere	Abgesteifteren
Abgesteifteste	Abgesteiftesten
Abgestellte	Abgestellten
